index,gen
83,blaACT-17
83,catA
83,fosA
83,oqxB
84,blaMIR-16
84,catA
84,fosA
84,oqxB
85,aac(3)-IIe
85,aac(6')-Ib-cr5
85,aac(6')-Ib3
85,aac(6')-Ib4
85,aadA1
85,aadA2
85,aph(3')-XV
85,arr-3
85,blaACT-16
85,blaCTX-M-9
85,blaOXA-1
85,blaSHV-12
85,blaVIM-1
85,catA1
85,catA
85,catB2
85,catB3
85,dfrA16
85,fosA
85,mcr-9.2
85,oqxB
85,sul1
85,tet(A)
86,ant(2'')-Ia
86,blaACT-3
86,blaSHV-7
86,catA
86,fosA
86,oqxB
86,qnrE
87,blaACT
87,catA
87,oqxB
88,blaACT
88,blaIMI-1
88,catA
88,fosA
88,oqxB
88,qnrE
89,aac(6')-Il
89,aadA1
89,aadA2
89,ant(2'')-Ia
89,blaACT-45
89,blaCTX-M-9
89,blaTEM-1
89,blaVIM-1
89,dfrA16
89,dfrA1
89,fosA
89,mcr-9.1
89,oqxA
89,oqxB
89,qnrA1
89,sat2
89,sul1
90,blaACT-55
90,oqxA
90,oqxB
91,aac(6')-Ib
91,blaACT-17
91,blaSHV-12
91,fosA
91,oqxA
91,oqxB
92,blaACT-16
92,blaLAP-2
92,fosA
92,mcr-9.1
92,oqxA
92,oqxB
92,qnrS1
93,blaACT-17
93,fosA
93,oqxA
93,oqxB
94,aph(3'')-Ib
94,aph(6)-Id
94,blaACT-41
94,blaTEM-1
94,catA2
94,dfrA14
94,fosA
94,oqxA
94,oqxB
94,qnrB19
94,sul2
94,tet(D)
95,blaACT-37
95,oqxA
95,oqxB
96,blaACT-55
96,oqxA
96,oqxB
97,blaACT-70
97,blaACT
97,fosA
97,oqxA
97,oqxB
98,blaACT-69
98,fosA
98,oqxA
98,oqxB
99,blaACT-52
99,fosA
99,oqxA
99,oqxB
100,blaACT-17
100,fosA
100,oqxA
100,oqxB
101,blaACT-55
101,oqxA
101,oqxB
102,aadA1
102,ant(2'')-Ia
102,aph(3')-Ia
102,blaACT-17
102,blaKPC-3
102,blaTEM-1
102,catB3
102,floR2
102,fosA
102,mcr-9.1
102,oqxA
102,oqxB
102,sul1
102,tet(G)
103,blaACT-15
103,fosA
103,oqxA
103,oqxB
104,blaACT-17
104,catA
104,fosA
104,oqxB
105,aac(3)-II
105,aac(6')-IIc
105,aadA1
105,aph(3'')-Ib
105,aph(3')-Ia
105,aph(6)-Id
105,arr
105,blaACT-56
105,blaSHV-12
105,blaTEM-1
105,catA2
105,dfrA19
105,fosA
105,mcr-9.1
105,oqxA
105,oqxB
105,qnrB2
105,sul1
105,sul2
106,blaACT-70
106,fosA
106,oqxA
106,oqxB
107,aac(6')-Ib'
107,aadA1
107,blaACT-17
107,blaKPC-3
107,blaTEM-1
107,blaTEM
107,fosA
107,oqxA
107,oqxB
107,qnrB19
108,blaCMH
108,oqxA
108,oqxB
109,blaACT-17
109,fosA
109,oqxA
109,oqxB
110,aac(3)-II
110,aac(6')-IIc
110,aac(6')-Ib3
110,aadA2
110,aph(3'')-Ib
110,aph(3')-Ia
110,aph(6)-Id
110,arr
110,blaACT-16
110,blaLAP-2
110,blaSHV-12
110,blaTEM-1
110,catA2
110,dfrA19
110,fosA
110,mcr-9.1
110,oqxA
110,oqxB
110,qnrB2
110,qnrS1
110,sul1
110,sul2
110,tet(D)
111,blaMIR-11
111,fosA
111,oqxA
111,oqxB
112,aadA2
112,aph(3'')-Ib
112,aph(6)-Id
112,blaACT-3
112,dfrA12
112,mph(A)
112,oqxA
112,oqxB
112,qnrE
112,sul1
113,blaACT-25
113,fosA
113,oqxA
113,oqxB
114,blaACT-55
114,oqxA
114,oqxB
115,blaACT-17
115,catA
115,fosA
115,oqxB
116,blaACT-15
116,blaCTX-M-15
116,catA
116,dfrA14
116,fosA
116,oqxB
116,qnrS1
117,blaACT-44
117,catA
117,oqxB
118,blaMIR-3
118,catA
118,fosA
118,oqxB
119,blaACT-56
119,catA
119,fosA
119,oqxB
120,blaACT-15
120,catA
120,fosA
120,oqxB
121,blaMIR-7
121,catA
121,fosA
121,mcr-10.1
121,oqxB
122,aac(3)-IIg
122,aac(6')-IIc
122,aac(6')-Ib'
122,aadA1
122,aadA2
122,aph(3'')-Ib
122,aph(3')-Ia
122,aph(6)-Id
122,arr
122,blaACT-16
122,blaOXA-9
122,blaSHV-12
122,blaTEM-1
122,catA2
122,catA
122,dfrA16
122,dfrA19
122,fosA
122,mcr-9.1
122,oqxB
122,sul1
122,sul2
123,blaMIR-5
123,catA
123,fosA
123,oqxB
124,blaACT-17
124,catA
124,fosA
124,oqxB
125,aac(3)-IIe
125,aac(6')-Ib-cr5
125,aadA1
125,aph(3'')-Ib
125,aph(6)-Id
125,blaACT-17
125,blaCTX-M-15
125,blaKPC-2
125,blaOXA-1
125,blaTEM-1
125,catA1
125,catA
125,dfrA14
125,oqxB
125,qnrB1
125,sul2
125,tet(A)
126,blaACT-9
126,catA
126,fosA
126,oqxB
127,blaACT-16
127,catA
127,fosA
127,oqxB
128,aac(6')-Ib-cr5
128,aadA1
128,blaACT
128,blaOXA-1
128,catA1
128,catA
128,dfrA14
128,oqxB
128,qnrB1
128,tet(A)
129,aac(3)-IId
129,aac(6')-Ib3
129,aph(3'')-Ib
129,aph(6)-Id
129,blaACT-17
129,blaCTX-M-15
129,blaIMP-14
129,blaOXA-10
129,blaTEM-1
129,catA2
129,catA
129,fosA
129,mph(A)
129,oqxB
129,rmtE
129,sul1
129,sul2
129,tet(A)
130,aac(3)-Ib
130,aac(6')-Ib-cr5
130,ant(2'')-Ia
130,ant(3'')-Ia
130,aph(3')-Ia
130,arr-3
130,blaACT-46
130,blaKPC-4
130,blaOXA-1
130,catA
130,catB3
130,dfrA14
130,fosA
130,mcr-9.1
130,mph(A)
130,oqxB
130,qnrS1
130,sul1
130,tet(D)
131,blaACT-89
131,catA
131,fosA
131,oqxB
132,blaACT-55
132,catA
132,oqxB
133,aac(3)-IIg
133,aac(6')-IIc
133,aac(6')-Ib3
133,aadA2
133,aph(3'')-Ib
133,aph(6)-Id
133,arr
133,blaACT
133,blaKPC-2
133,catA
133,dfrA19
133,fosA
133,mcr-9.1
133,oqxB
133,qnrS1
133,sul1
133,sul2
134,blaMIR
134,fosA
134,oqxB
135,blaACT
135,blaNMC-A
135,catA
135,fosA2
135,oqxB
136,blaACT
136,blaNMC-A
136,catA
136,fosA
136,oqxB
137,blaACT
137,catA
137,fosA
137,oqxB
138,blaMIR
138,catA
138,fosA
138,oqxB
139,blaACT-17
139,blaKPC-3
139,blaTEM-1
139,catA
139,dfrA14
139,oqxB
139,qnrS1
140,aac(3)-IIe
140,aac(6')-Ib-cr5
140,aph(3'')-Ib
140,aph(6)-Id
140,blaCMH
140,blaCTX-M-15
140,blaNDM-1
140,blaOXA-1
