index,#Organism group,Strain
8586,Klebsiella pneumoniae,100
8587,Klebsiella pneumoniae,101
8588,Klebsiella pneumoniae,MRSN27778
8589,Klebsiella pneumoniae,MRSN13761
8590,Clostridioides difficile,CDI-17
8591,Clostridioides difficile,CDI-11
8592,E.coli and Shigella,BIDMC 63
8593,E.coli and Shigella,BIDMC 76
8595,E.coli and Shigella,272
8596,E.coli and Shigella,AR_0370
8597,E.coli and Shigella,273
8598,E.coli and Shigella,274
8599,E.coli and Shigella,ECPUTH04
8600,E.coli and Shigella,ECH+23
8601,E.coli and Shigella,URMC_52
8602,E.coli and Shigella,URMC_83
8603,E.coli and Shigella,URMC_85
8604,E.coli and Shigella,URMC_94
8605,E.coli and Shigella,URMC_9
8607,E.coli and Shigella,FSIS1606615
8608,E.coli and Shigella,275
8609,E.coli and Shigella,FSIS1605611
8610,E.coli and Shigella,276
8611,E.coli and Shigella,ECH+07
8612,E.coli and Shigella,FSIS1606528
8613,E.coli and Shigella,URMC_30
8614,E.coli and Shigella,URMC_111
8615,E.coli and Shigella,URMC_86
8616,E.coli and Shigella,URMC_3
8617,E.coli and Shigella,URMC_90
8618,E.coli and Shigella,277
8619,E.coli and Shigella,278
8620,E.coli and Shigella,Win2012_WWKa_OUT_8
8621,E.coli and Shigella,AR-0430
8622,E.coli and Shigella,FSIS1605821
8623,E.coli and Shigella,CVM N17EC0200
8624,E.coli and Shigella,CVM N18EC0854
8625,E.coli and Shigella,CVM N19EC0559
8626,E.coli and Shigella,CVM N19EC0180
8627,E.coli and Shigella,CVM N19EC0422
8628,E.coli and Shigella,279
8629,E.coli and Shigella,280
8630,E.coli and Shigella,281
8631,E.coli and Shigella,FSIS1605731
8632,Salmonella enterica,19TN08GT01N-S
8633,E.coli and Shigella,AR_0001
8634,E.coli and Shigella,AR_0048
8635,E.coli and Shigella,282
8636,E.coli and Shigella,283
8637,E.coli and Shigella,284
8638,E.coli and Shigella,285
8639,E.coli and Shigella,286
8640,E.coli and Shigella,287
8641,E.coli and Shigella,288
8642,E.coli and Shigella,289
8643,E.coli and Shigella,290
8644,Salmonella enterica,NY-N13152
8645,Salmonella enterica,NY-N13199
8646,Salmonella enterica,NY-N13153
8647,Salmonella enterica,NY-N14222
8648,Salmonella enterica,WAPHL_SAL-A00785
8649,Salmonella enterica,WAPHL_SAL-A00786
8650,Salmonella enterica,WAPHL_SAL-A00802
8651,Salmonella enterica,FL-NRM135
8652,Salmonella enterica,FL-NRM226
8653,Salmonella enterica,FL-NRM237
8654,Salmonella enterica,FL-NRM233
8655,Salmonella enterica,FL-NRM259
8656,Salmonella enterica,FL-NRM275
8657,Salmonella enterica,NY-N14324
8658,Salmonella enterica,WAPHL_SAL-A00823
8659,Salmonella enterica,NY-N14650
8660,Salmonella enterica,NY-N14668
8661,Salmonella enterica,WAPHL_SAL-A00873
8662,Salmonella enterica,WAPHL_SAL-A00864
8663,Salmonella enterica,CVM N19S1954
8664,E.coli and Shigella,URMC_66
8665,E.coli and Shigella,291
8666,E.coli and Shigella,CVM N17EC0092
8667,E.coli and Shigella,CVM N17EC0620
8668,E.coli and Shigella,Res13-Lact-EC09-12
8669,E.coli and Shigella,Res13-Fini-PEC13-17
8670,E.coli and Shigella,Res13-Fini-PEC11-01
8671,E.coli and Shigella,Res13-Fini-PEC03-13
8672,E.coli and Shigella,Res13-Fini-PEC01-29
8673,E.coli and Shigella,Res13-Fini-PEC02-13
8674,E.coli and Shigella,Res13-Croi-PEC11-19
8675,E.coli and Shigella,Res13-Croi-PEC15-20
8676,E.coli and Shigella,Res13-Croi-PEC03-01
8677,E.coli and Shigella,Res13-Croi-PEC04-13
8678,E.coli and Shigella,Res13-Croi-PEC02-03
8679,E.coli and Shigella,CVM N17EC0211
8680,E.coli and Shigella,CVM N17EC0320
8681,E.coli and Shigella,CVM N19EC0526
8682,E.coli and Shigella,CVM N17EC0827
8683,E.coli and Shigella,CVM N17EC1098
8684,E.coli and Shigella,CVM N19EC0409
8685,E.coli and Shigella,19KS09CB08-EC
8686,E.coli and Shigella,19NC12CB08_EC
8687,E.coli and Shigella,CVM N19EC1261
8688,E.coli and Shigella,CVM N17EC0444
8689,E.coli and Shigella,CVM N19EC0385
8690,E.coli and Shigella,URMC_80
8691,E.coli and Shigella,URMC_82
8692,E.coli and Shigella,URMC_77
8693,E.coli and Shigella,URMC_78
8694,E.coli and Shigella,292
8695,E.coli and Shigella,CVM N19EC1336
8696,E.coli and Shigella,CVM N18EC116
8697,E.coli and Shigella,PNUSAE042036
8698,E.coli and Shigella,293
8699,E.coli and Shigella,294
8700,E.coli and Shigella,AR_0378
8701,E.coli and Shigella,R13-AF33-pWea-03
8702,E.coli and Shigella,R13-AF33-pWea-05
8703,E.coli and Shigella,R13-AF33-pWea-01
8704,E.coli and Shigella,R13-AF33-pWea-02
8705,E.coli and Shigella,R13-AF33-pWea-04
8706,E.coli and Shigella,R13-AF11-pWea-05
8707,E.coli and Shigella,R13-AF11-pWea-04
8708,E.coli and Shigella,R13-AF11-pWea-02
8709,E.coli and Shigella,CVM N18EC0572
8710,E.coli and Shigella,19GA06GT10
8711,E.coli and Shigella,19NC09GT10_EC
8712,E.coli and Shigella,CVM N17EC0168
8713,E.coli and Shigella,CVM N18EC0494
8714,E.coli and Shigella,CVM N19EC1263
8715,E.coli and Shigella,Win2013_WWKa_OUT_24
8716,E.coli and Shigella,CVM N18EC072
8717,E.coli and Shigella,CVM N18EC0620
8718,E.coli and Shigella,CVM N19EC0667
8719,E.coli and Shigella,Res13-Lact-PER10-32
8720,E.coli and Shigella,Res13-Lact-PER08-34
8721,E.coli and Shigella,Res13-Lact-EA04-24
8722,E.coli and Shigella,Res13-Fini-PEA25-34
8723,E.coli and Shigella,CVM N18EC0803
8724,E.coli and Shigella,AR_0149
8725,E.coli and Shigella,CVM N18EC1340
8726,E.coli and Shigella,CVM N18EC1184
8727,E.coli and Shigella,CVM N19EC1285
8728,E.coli and Shigella,19SC07GT20
8729,E.coli and Shigella,CVM N19EC1286
8730,E.coli and Shigella,295
8731,E.coli and Shigella,CVM N19EC0029
8732,E.coli and Shigella,PNUSAE045471
8733,E.coli and Shigella,CVM N19EC0547
8734,E.coli and Shigella,CVM N18EC0542
8735,E.coli and Shigella,19CO05PC01-EC
8736,E.coli and Shigella,URMC_81
8737,E.coli and Shigella,ECH+21
8738,E.coli and Shigella,CVM N18EC182
8739,E.coli and Shigella,CVM N19EC0449
8740,E.coli and Shigella,CVM N17EC0494
8741,E.coli and Shigella,CVM N17EC0344
8742,E.coli and Shigella,CVM N18EC048
8743,E.coli and Shigella,CVM N19EC0459
8744,E.coli and Shigella,CVM N17EC1332
8745,E.coli and Shigella,CVM N17EC1042
8746,E.coli and Shigella,CVM N17EC1320
8747,E.coli and Shigella,CVM N18EC0912
8748,E.coli and Shigella,CVM N18EC0964
8749,E.coli and Shigella,CVM N18EC0954
8750,E.coli and Shigella,CVM N18EC0876
8751,E.coli and Shigella,19OR09GT06-EC
8752,E.coli and Shigella,CVM N19EC0393
8753,E.coli and Shigella,19GA04GT10-EC
8754,E.coli and Shigella,ESBL4483
8755,E.coli and Shigella,CVM N17EC0202
8756,E.coli and Shigella,19OR02GT06-EC
8757,E.coli and Shigella,296
8758,E.coli and Shigella,19CO08GB02-EC
8759,E.coli and Shigella,CVM N17EC0084
8760,E.coli and Shigella,CVM N17EC0692
8761,E.coli and Shigella,CVM N18EC0714
8762,E.coli and Shigella,CVM N18EC0450
8763,E.coli and Shigella,CVM N19EC0417
8764,E.coli and Shigella,19OR05GT12-EC
8765,E.coli and Shigella,CVM N19EC1048
8766,E.coli and Shigella,297
8767,E.coli and Shigella,CVM N19EC0561
8768,E.coli and Shigella,BIDMC 72
8769,E.coli and Shigella,CVM N17EC0812
8770,E.coli and Shigella,CVM N17EC1248
8771,E.coli and Shigella,CVM N18EC1290
8772,E.coli and Shigella,CVM N18EC1260
8773,E.coli and Shigella,CVM N18EC0888
8774,E.coli and Shigella,CVM N18EC0736
8775,E.coli and Shigella,CVM N18EC0977
8776,E.coli and Shigella,CVM N19EC0490
8777,E.coli and Shigella,CVM N19EC0461
8778,E.coli and Shigella,CVM N19EC0004
8779,E.coli and Shigella,19SD09GT10-EC
8780,E.coli and Shigella,CVM N19EC0709
8781,E.coli and Shigella,CVM N19EC0388
8782,E.coli and Shigella,298
8783,E.coli and Shigella,299
8784,E.coli and Shigella,URMC_59
8785,E.coli and Shigella,300
8786,E.coli and Shigella,301
8787,E.coli and Shigella,302
8788,E.coli and Shigella,303
8789,E.coli and Shigella,304
8790,E.coli and Shigella,305
8791,E.coli and Shigella,ECH+17
8792,E.coli and Shigella,SMG008F2
8793,E.coli and Shigella,SMG008F9
8794,E.coli and Shigella,SMG008U
8795,E.coli and Shigella,35.56
8796,E.coli and Shigella,306
8797,E.coli and Shigella,CVM N18EC0544
8798,E.coli and Shigella,CVM N19EC0563
8799,E.coli and Shigella,AR_0151
8800,E.coli and Shigella,AR_0150
8801,E.coli and Shigella,CVM N18EC1008
8802,E.coli and Shigella,CVM N17EC1148
8803,E.coli and Shigella,CVM N19EC0430
8804,E.coli and Shigella,CVM N17EC0928
8805,E.coli and Shigella,CVM N17EC0760
8806,E.coli and Shigella,CVM N17EC0118
8807,E.coli and Shigella,CVM N18EC080
8808,E.coli and Shigella,CVM N18EC1338
8809,E.coli and Shigella,19OR12GT03-EC
8810,E.coli and Shigella,CVM N18EC0668
8811,E.coli and Shigella,CVM N19EC0374
8812,E.coli and Shigella,19OR06GT12-EC
8813,E.coli and Shigella,19OR01GT09-EC
8814,E.coli and Shigella,19CO05GT20-EC
8815,E.coli and Shigella,CVM N19EC0095
8816,E.coli and Shigella,19IA11GT20-EC
8817,E.coli and Shigella,307
8818,E.coli and Shigella,308
8819,E.coli and Shigella,309
8820,E.coli and Shigella,310
8821,E.coli and Shigella,CVM N17EC0002
8822,E.coli and Shigella,CVM N19EC0595
8823,E.coli and Shigella,311
8824,E.coli and Shigella,312
8825,E.coli and Shigella,313
8826,E.coli and Shigella,19KS08CB16-EC
8827,E.coli and Shigella,CVM N17EC0334
8828,E.coli and Shigella,CVM N17EC0422
8829,E.coli and Shigella,CVM N19EC0641
8830,E.coli and Shigella,CVM N19EC0163
8831,E.coli and Shigella,314
8832,E.coli and Shigella,35.53
8833,E.coli and Shigella,19OR11GT03-EC
8834,E.coli and Shigella,CVM N18EC0274
8835,E.coli and Shigella,CVM N18EC200
8836,E.coli and Shigella,CVM N18EC078
8837,E.coli and Shigella,CVM N17EC0024
8838,E.coli and Shigella,CVM N18EC001
8839,E.coli and Shigella,CVM N17EC0642
8840,E.coli and Shigella,CVM N18EC0717
8841,E.coli and Shigella,CVM N18EC0940
8842,E.coli and Shigella,CVM N18EC0642
8843,E.coli and Shigella,CVM N18EC1228
8844,E.coli and Shigella,19CO08GT16-EC
8845,E.coli and Shigella,CVM N18EC0415
8846,E.coli and Shigella,19GA10GT10
8847,E.coli and Shigella,CVM N19EC1092
8848,E.coli and Shigella,CVM N17EC0999
8849,E.coli and Shigella,CVM N18EC0667
8850,E.coli and Shigella,CVM N18EC0458
8851,E.coli and Shigella,19IA07GT15-EC
8852,E.coli and Shigella,CVM N19EC0053
8853,E.coli and Shigella,CVM N17EC1260
8854,E.coli and Shigella,CVM N19EC1012
8855,E.coli and Shigella,CVM N17EC1390
8856,E.coli and Shigella,CVM N19EC0031
8857,E.coli and Shigella,CVM N18EC164
8858,E.coli and Shigella,CVM N18EC0326
8859,E.coli and Shigella,CVM N19EC0470
8860,E.coli and Shigella,19OR12GT06-EC
8861,E.coli and Shigella,CVM N19EC0668
8862,E.coli and Shigella,19OR03GT09-EC
8863,E.coli and Shigella,19CO02GT20-EC
8864,E.coli and Shigella,CCUG 70745
8865,E.coli and Shigella,315
8866,E.coli and Shigella,316
8867,E.coli and Shigella,317
8868,E.coli and Shigella,Res13-Sevr-PEA27-14
8869,E.coli and Shigella,Res13-Sevr-PEA24-03
8870,E.coli and Shigella,Res13-Sevr-PEA20-33
8871,E.coli and Shigella,Res13-Sevr-PEA15-37
8872,E.coli and Shigella,Res13-Lact-PEA28-10
8873,E.coli and Shigella,Res13-Lact-PEA25-11
8874,E.coli and Shigella,Res13-Fini-PEA17-13
8875,E.coli and Shigella,Res13-Croi-PEA27-33
8876,E.coli and Shigella,Res13-Croi-PEA22-35
8877,E.coli and Shigella,Res13-Croi-PEA24-40
8878,E.coli and Shigella,Res13-Croi-PEA21-28
8879,E.coli and Shigella,Res13-Croi-PEA15-12
8880,E.coli and Shigella,CVM N18EC1368
8881,E.coli and Shigella,CVM N19EC1096
8882,E.coli and Shigella,CVM N17EC1092
8883,E.coli and Shigella,19CO07GT01-EC
8884,E.coli and Shigella,19CA09GT11-UCD-EC
8885,E.coli and Shigella,CVM N19EC0019
8886,E.coli and Shigella,CVM N19EC1230
8887,E.coli and Shigella,CVM N17EC0962
8888,E.coli and Shigella,FSIS1605734
8889,E.coli and Shigella,318
8890,E.coli and Shigella,319
8891,E.coli and Shigella,Aut2013_WWKa_ALT_48
8892,E.coli and Shigella,CVM N19EC0631
8893,E.coli and Shigella,CVM N17EC0688
8894,E.coli and Shigella,CVM N17EC0122
8895,E.coli and Shigella,CVM N18EC0768
8896,E.coli and Shigella,CVM N18EC0744
8897,E.coli and Shigella,CVM N18EC0404
8898,E.coli and Shigella,CVM N18EC0332
8899,E.coli and Shigella,ESBL4424
8900,E.coli and Shigella,CVM N18EC162
8901,E.coli and Shigella,CVM N19EC1328
8902,E.coli and Shigella,URMC_62
8903,E.coli and Shigella,Res13-Lact-PEB18-16
8904,E.coli and Shigella,Res13-Lact-LEB3-02
8905,E.coli and Shigella,Res13-Lact-LEB3-20
8906,E.coli and Shigella,Res13-Lact-LEB3-12
8907,E.coli and Shigella,Res13-Lact-LEB3-27
8908,E.coli and Shigella,Res13-Sevr-PEB21-01
8909,E.coli and Shigella,Res13-Lact-PEB17-17
8910,E.coli and Shigella,Res13-Lact-LEB3-37
8911,E.coli and Shigella,FSIS1605916
8912,E.coli and Shigella,19TX09GT20-EC
8913,E.coli and Shigella,CVM N18EC0266
8914,E.coli and Shigella,CVM N18EC142
8915,E.coli and Shigella,320
8916,E.coli and Shigella,ECPSTH03
8917,E.coli and Shigella,Achtman MLST 1386
8919,E.coli and Shigella,CVM N17EC0226
8920,E.coli and Shigella,19IA09PC08-EC
8921,E.coli and Shigella,Res13-Lact-LEB3-09
8922,E.coli and Shigella,CVM N17EC0808
8923,E.coli and Shigella,CVM N17EC0426
8924,E.coli and Shigella,CVM N17EC1232
8925,E.coli and Shigella,CVM N17EC1084
8926,E.coli and Shigella,CVM N17EC1036
8927,E.coli and Shigella,CVM N19EC0845
8928,E.coli and Shigella,321
8929,E.coli and Shigella,322
8930,E.coli and Shigella,CVM N18EC1266
8931,E.coli and Shigella,CVM N18EC0528
8932,E.coli and Shigella,CVM N19EC0349
8933,E.coli and Shigella,19NC12CB36_EC
8934,E.coli and Shigella,CVM N18EC0718
8935,E.coli and Shigella,CVM N18EC0518
8936,E.coli and Shigella,CVM N18EC1036
8937,E.coli and Shigella,CVM N19EC0484
8938,E.coli and Shigella,CVM N19EC0075
8939,E.coli and Shigella,323
8940,E.coli and Shigella,Res13-Lact-PEB13-33
8941,E.coli and Shigella,Res13-Lact-LEB1-11-b
8942,E.coli and Shigella,Res13-Lact-EB13-15
8943,E.coli and Shigella,Res13-Lact-EB13-22
8944,E.coli and Shigella,Res13-Lact-EB12-33
8945,E.coli and Shigella,Res13-Lact-PEB09-33
8946,E.coli and Shigella,CVM N19EC0469
8947,E.coli and Shigella,19GA09PC08-EC
8948,E.coli and Shigella,CRE1493
8949,E.coli and Shigella,CVM N18EC0378
8950,E.coli and Shigella,CVM N18EC0490
8951,E.coli and Shigella,CVM N18EC0602
8952,E.coli and Shigella,CVM N19EC0901
8953,E.coli and Shigella,324
8954,E.coli and Shigella,19SC05GT05-EC
8955,E.coli and Shigella,CVM N17EC0206
8956,E.coli and Shigella,CVM N17EC0567
8957,E.coli and Shigella,CVM N18EC0376
8958,E.coli and Shigella,CVM N17EC1262
8959,E.coli and Shigella,CVM N18EC1054
8960,E.coli and Shigella,CVM N19EC0353
8961,E.coli and Shigella,CVM N19EC0334
8962,E.coli and Shigella,CVM N17EC0270
8963,E.coli and Shigella,CVM N19EC0106
8964,E.coli and Shigella,CVM N19EC0299
8965,E.coli and Shigella,CVM N19EC0692
8966,E.coli and Shigella,CVM N19EC0869
8967,E.coli and Shigella,19MD04CB09
8968,E.coli and Shigella,CVM N19EC0465
8969,E.coli and Shigella,CVM N19EC0751
8970,E.coli and Shigella,Achtman MLST 44
8971,E.coli and Shigella,19MD05GT06-EC
8972,E.coli and Shigella,CVM N19EC0513
8973,E.coli and Shigella,325
8974,E.coli and Shigella,CVM N19EC0094
8975,E.coli and Shigella,35.46
8976,E.coli and Shigella,19NC08GT05_EC
8977,E.coli and Shigella,CVM N19EC0508
8978,E.coli and Shigella,CVM N19EC1105
8979,E.coli and Shigella,19IA12GB04-EC
8980,E.coli and Shigella,AR-0429
8981,E.coli and Shigella,19OR07GT06-EC
8982,E.coli and Shigella,19OR09GT03-EC
8983,E.coli and Shigella,19SD07CB32-EC
8984,E.coli and Shigella,CVM N18EC100
8985,E.coli and Shigella,CVM N18EC0002
8986,E.coli and Shigella,19GA07GT05
8987,E.coli and Shigella,CVM N19EC0181
8988,E.coli and Shigella,CVM N17EC0912
8989,E.coli and Shigella,CVM N17EC1403
8990,E.coli and Shigella,CVM N17EC0930
8991,E.coli and Shigella,CVM N17EC0942
8992,E.coli and Shigella,CVM N18EC1386
8993,E.coli and Shigella,19CO03GT11-EC
8994,E.coli and Shigella,CVM N19EC0843
8995,E.coli and Shigella,CVM N19EC0635
8996,E.coli and Shigella,CVM N19EC0666
8997,E.coli and Shigella,CVM N17EC0352
8998,E.coli and Shigella,CVM N18EC150
8999,E.coli and Shigella,CVM N18EC1332
9000,E.coli and Shigella,CVM N18EC0674
9001,E.coli and Shigella,CVM N19EC0006
9002,E.coli and Shigella,19SC07CB08-EC
9003,E.coli and Shigella,CVM N19EC0856
9004,E.coli and Shigella,CVM N19EC1058
9005,E.coli and Shigella,BIDMC 20A
9006,E.coli and Shigella,BWH 34
9007,E.coli and Shigella,BIDMC 58
9008,E.coli and Shigella,BIDMC 62
9009,E.coli and Shigella,BIDMC 64
9010,E.coli and Shigella,326
9011,E.coli and Shigella,327
9012,E.coli and Shigella,328
9013,E.coli and Shigella,329
9014,E.coli and Shigella,330
9015,E.coli and Shigella,331
9016,E.coli and Shigella,332
9017,E.coli and Shigella,CVM N17EC0318
9018,E.coli and Shigella,CVM N19EC0427
9019,E.coli and Shigella,CVM N19EC0708
9020,E.coli and Shigella,34.51
9021,E.coli and Shigella,CVM N17EC1374
9022,E.coli and Shigella,CVM N17EC0354
9023,E.coli and Shigella,CVM N18EC1384
9024,E.coli and Shigella,19SD07GT10-EC
9025,E.coli and Shigella,19CO09GT20-EC
9026,E.coli and Shigella,CVM N18EC1333
9027,E.coli and Shigella,CVM N19EC1097
9028,E.coli and Shigella,CVM N19EC0750
9029,E.coli and Shigella,CVM N19EC0319
9030,E.coli and Shigella,CVM N19EC0473
9031,E.coli and Shigella,CVM N18EC130
9032,E.coli and Shigella,AR-0424
9033,E.coli and Shigella,19OR05GB05-EC
9034,E.coli and Shigella,CVM N17EC0068
9035,E.coli and Shigella,CVM N17EC1136
9036,E.coli and Shigella,CVM N18EC0764
9037,E.coli and Shigella,CVM N17EC0880
9038,E.coli and Shigella,CVM N18EC0693
9039,E.coli and Shigella,CVM N19EC0098
9040,E.coli and Shigella,CVM N19EC1085
9041,E.coli and Shigella,CVM N19EC0870
9042,E.coli and Shigella,CVM N19EC0714
9043,E.coli and Shigella,19SD09CB40-EC
9044,E.coli and Shigella,CVM N19EC0099
9045,E.coli and Shigella,CVM N19EC0342
9046,E.coli and Shigella,CVM N19EC0408
9047,E.coli and Shigella,CVM N18EC0510
9048,E.coli and Shigella,19IA09GB02-EC
9049,E.coli and Shigella,CVM N19EC0085
9050,E.coli and Shigella,19CA09GT13-UCD-EC
9051,E.coli and Shigella,CVM N19EC1167
9052,E.coli and Shigella,CVM N19EC0096
9053,E.coli and Shigella,CVM N19EC0694
9054,E.coli and Shigella,36.23
9055,E.coli and Shigella,34.64
9056,E.coli and Shigella,CVM N17EC0538
9057,E.coli and Shigella,CVM N17EC0474
9059,E.coli and Shigella,CVM N18EC1304
9060,E.coli and Shigella,19MD08GT01-EC
9061,E.coli and Shigella,19CO05GT11-EC
9062,E.coli and Shigella,CVM N19EC1101
9063,E.coli and Shigella,Res13-Lact-PEA20-36
9064,E.coli and Shigella,Res13-Lact-EA26-10
9065,E.coli and Shigella,Res13-Lact-EA18-31
9066,E.coli and Shigella,Res13-Lact-EA16-12
9067,E.coli and Shigella,Res13-Fini-PEA21-33
9068,E.coli and Shigella,Res13-Lact-PEA13-25
9069,E.coli and Shigella,Res13-Lact-PEA13-17
9070,E.coli and Shigella,Res13-Lact-PEA13-10
9071,E.coli and Shigella,Res13-Lact-PEA13-09
9072,E.coli and Shigella,Res13-Lact-PEA13-11
9073,E.coli and Shigella,Res13-Lact-PEA13-26
9074,E.coli and Shigella,CVM N19EC0112
9075,E.coli and Shigella,CVM N18EC0498
9076,E.coli and Shigella,19SD07GT05-EC
9077,E.coli and Shigella,CVM N19EC0715
9078,E.coli and Shigella,CVM N19EC0322
9079,E.coli and Shigella,CVM N19EC0167
9080,E.coli and Shigella,19SC07GT15
9081,E.coli and Shigella,CVM N18EC0234
9082,E.coli and Shigella,CVM N18EC0236
9083,E.coli and Shigella,CVM N19EC0662
9084,E.coli and Shigella,333
9085,E.coli and Shigella,ESBL4323
9086,E.coli and Shigella,35.70
9087,E.coli and Shigella,35.32
9088,E.coli and Shigella,35.04
9089,E.coli and Shigella,34.43
9090,E.coli and Shigella,34.36
9091,E.coli and Shigella,34.03
9092,E.coli and Shigella,CVM N17EC0034
9093,E.coli and Shigella,19MD06CB09-EC
9094,E.coli and Shigella,CVM N19EC0060
9095,E.coli and Shigella,CVM N19EC0284
9096,E.coli and Shigella,CVM N19EC0816
9097,E.coli and Shigella,CVM N19EC0062
9098,E.coli and Shigella,FDA-CDC-AR_0020
9099,E.coli and Shigella,AR_0058
9100,E.coli and Shigella,CVM N18EC0724
9101,E.coli and Shigella,CVM N19EC0447
9102,E.coli and Shigella,CVM N19EC0558
9103,E.coli and Shigella,CVM N33591PS
9104,E.coli and Shigella,19OR07CB18-EC
9105,E.coli and Shigella,CVM N19EC0229
9106,E.coli and Shigella,CVM N18EC054
9107,E.coli and Shigella,19OR05GT09-EC
9108,E.coli and Shigella,CVM N19EC0064
9109,E.coli and Shigella,CVM N17EC1170
9110,E.coli and Shigella,CVM N19EC0076
9111,E.coli and Shigella,CVM N19EC0352
9112,E.coli and Shigella,CVM N18EC1080
9113,E.coli and Shigella,CVM N17EC0872
9114,E.coli and Shigella,CVM N18EC1284
9115,E.coli and Shigella,19CO11PC05-EC
9116,E.coli and Shigella,334
9117,E.coli and Shigella,335
9118,E.coli and Shigella,CVM N19EC1125
9119,E.coli and Shigella,36.28
9120,E.coli and Shigella,CVM N18EC0212
9121,E.coli and Shigella,CVM N17EC1442
9122,E.coli and Shigella,CVM N19EC0937
9123,E.coli and Shigella,336
9124,E.coli and Shigella,CVM N17EC0160
9125,E.coli and Shigella,Spr2013_WWKa_OUT_29
9126,E.coli and Shigella,URMC_43
9127,E.coli and Shigella,URMC_107
9128,Staphylococcus aureus,AR461
9129,Staphylococcus aureus,173
9130,Staphylococcus aureus,174
9131,Staphylococcus aureus,175
9132,Staphylococcus aureus,176
9133,Clostridioides difficile,CDI-20
9134,Clostridioides difficile,CDI-03
9135,Clostridioides difficile,CDI-15
9136,Clostridioides difficile,CDI-16
9137,Clostridioides difficile,CDI-22
9138,Clostridioides difficile,CDI-02
9139,Clostridioides difficile,CDI-13
9140,Staphylococcus aureus,177
9141,Listeria monocytogenes,2.0
9142,E.coli and Shigella,19SD12PC10-EC
9143,E.coli and Shigella,19SD12PC06-EC
9144,E.coli and Shigella,19SD12GT15-EC
9145,E.coli and Shigella,19SD12PC02-EC
9146,E.coli and Shigella,19SD12GB10-EC
9147,E.coli and Shigella,19SD12PC08-EC
9148,E.coli and Shigella,19KS09CB24-EC
9149,E.coli and Shigella,19GA12GT05-EC
9150,E.coli and Shigella,19NC12PC06_EC
9151,E.coli and Shigella,19NC12CB28_EC
9152,E.coli and Shigella,PNUSAE024341
9153,E.coli and Shigella,19SC07PC10-EC
9154,E.coli and Shigella,PNUSAE039176
9155,E.coli and Shigella,19SC08GT10-EC
9156,E.coli and Shigella,AR437
9157,E.coli and Shigella,AR435
9158,E.coli and Shigella,AR434
9159,E.coli and Shigella,Win2013_WWKa_OUT_18
9160,E.coli and Shigella,Win2013_WWKa_OUT_3
9161,E.coli and Shigella,Win2013_WWKa_OUT_1
9162,E.coli and Shigella,Win2013_WWKa_OUT_29
9163,E.coli and Shigella,Win2013_WWKa_NEU_20
9164,E.coli and Shigella,Win2013_WWKa_NEU_60
9165,E.coli and Shigella,Win2012_WWKa_OUT_49
9166,E.coli and Shigella,Win2012_WWKa_OUT_2
9167,E.coli and Shigella,Win2012_WWKa_OUT_29
9168,E.coli and Shigella,Win2012_WWKa_OUT_33
9169,E.coli and Shigella,Win2012_WWKa_OUT_35
9170,E.coli and Shigella,Win2012_WWKa_NEU_7
9171,E.coli and Shigella,Win2012_WWKa_NEU_51
9172,E.coli and Shigella,Win2012_WWKa_OUT_14
9173,E.coli and Shigella,Win2013_WWKa_ALT_23
9174,E.coli and Shigella,Win2012_WWKa_OUT_21
9175,E.coli and Shigella,Win2012_WWKa_OUT_26
9176,E.coli and Shigella,Win2012_WWKa_NEU_31
9177,E.coli and Shigella,Win2012_WWKa_NEU_19
9178,E.coli and Shigella,Win2012_WWKa_NEU_16
9179,E.coli and Shigella,Win2012_WWKa_NEU_12
9180,E.coli and Shigella,Win2012_WWKa_ALT_65
9181,E.coli and Shigella,Win2012_WWKa_ALT_49
9182,E.coli and Shigella,Sum2013_WWKa_OUT_3
9183,E.coli and Shigella,Sum2013_WWKa_OUT_31
9184,E.coli and Shigella,Sum2013_WWKa_OUT_2
9185,E.coli and Shigella,Sum2013_WWKa_OUT_21
9186,E.coli and Shigella,Sum2013_WWKa_NEU_53
9187,E.coli and Shigella,Sum2013_WWKa_ALT_44
9188,E.coli and Shigella,Spr2013_WWKa_OUT_56
9189,E.coli and Shigella,Win2012_WWKa_NEU_37
9190,E.coli and Shigella,Win2012_WWKa_ALT_54
9191,E.coli and Shigella,Sum2013_WWKa_OUT_5
9192,E.coli and Shigella,Sum2013_WWKa_NEU_39
9193,E.coli and Shigella,Sum2013_WWKa_NEU_29
9194,E.coli and Shigella,Spr2013_WWKa_OUT_27
9195,E.coli and Shigella,Sum2013_WWKa_ALT_41
9196,E.coli and Shigella,Sum2013_WWKa_ALT_27
9197,E.coli and Shigella,Spr2013_WWKa_OUT_55
9198,E.coli and Shigella,Spr2013_WWKa_OUT_5
9199,E.coli and Shigella,Spr2013_WWKa_OUT_32
9200,E.coli and Shigella,Spr2013_WWKa_OUT_45
9201,E.coli and Shigella,Spr2013_WWKa_OUT_15
9202,E.coli and Shigella,Spr2013_WWKa_NEU_6
9203,E.coli and Shigella,Spr2013_WWKa_OUT_11
9204,E.coli and Shigella,Spr2013_WWKa_NEU_37
9205,E.coli and Shigella,Spr2013_WWKa_ALT_63
9206,E.coli and Shigella,Spr2013_WWKa_ALT_55
9207,E.coli and Shigella,Spr2013_WWKa_ALT_27
9208,E.coli and Shigella,Spr2013_WWKa_ALT_43
