index,#Organism group,Strain
376,Campylobacter jejuni,FSIS1606220
377,Campylobacter jejuni,FSIS1606315
378,Campylobacter jejuni,FSIS1606321
379,Campylobacter jejuni,FSIS1606304
380,Campylobacter jejuni,FSIS1606305
381,Campylobacter jejuni,FSIS1606302
382,Campylobacter jejuni,FSIS1606303
383,Campylobacter jejuni,FSIS1606809
384,Campylobacter jejuni,FSIS1606594
385,Campylobacter jejuni,FSIS1606676
386,Campylobacter jejuni,FSIS1606654
387,Campylobacter jejuni,FSIS1606670
388,Campylobacter jejuni,FSIS1606655
389,Campylobacter jejuni,FSIS1606647
390,Campylobacter jejuni,FSIS1606667
391,Campylobacter jejuni,FSIS1606669
392,Campylobacter jejuni,FSIS1606719
393,Campylobacter jejuni,FSIS1606722
394,Campylobacter jejuni,FSIS1606724
395,Campylobacter jejuni,FSIS1606561
396,Campylobacter jejuni,FSIS1606729
397,Campylobacter jejuni,FSIS1606745
398,Campylobacter jejuni,CVM N16C002
399,Campylobacter jejuni,CVM N16C008
400,Campylobacter jejuni,CVM N16C011
401,Campylobacter jejuni,CVM N16C013
402,Campylobacter jejuni,CVM N16C021
403,Campylobacter jejuni,CVM N16C024
404,Campylobacter jejuni,CVM N16C065
405,Campylobacter jejuni,CVM N16C459
406,Campylobacter jejuni,CVM N16C476
407,Campylobacter jejuni,CVM N16C488
408,Campylobacter jejuni,CVM N16C519
409,Campylobacter jejuni,CVM N16C522
410,Campylobacter jejuni,CVM N16C537
411,Campylobacter jejuni,CVM N16C550
412,Campylobacter jejuni,CVM N16C202
413,Campylobacter jejuni,CVM N16C129
414,Campylobacter jejuni,CVM N16C182
415,Campylobacter jejuni,CVM N16C193
416,Campylobacter jejuni,CVM N16C196
417,Campylobacter jejuni,CVM N16C217
418,Campylobacter jejuni,CVM N16C225
419,Campylobacter jejuni,CVM N16C239
420,Campylobacter jejuni,CVM N16C245
421,Campylobacter jejuni,CVM N16C256
422,Campylobacter jejuni,CVM N16C268
423,Campylobacter jejuni,CVM N16C271
424,Campylobacter jejuni,CVM N16C081
425,Campylobacter jejuni,CVM N16C088
426,Campylobacter jejuni,CVM N16C092
427,Campylobacter jejuni,CVM N16C105
428,Campylobacter jejuni,CVM N16C106
429,Campylobacter jejuni,CVM N16C109
430,Campylobacter jejuni,CVM N16C111
431,Campylobacter jejuni,CVM N16C115
432,Campylobacter jejuni,CVM N16C127
433,Campylobacter jejuni,CVM N16C131
434,Campylobacter jejuni,CVM N16C133
435,Campylobacter jejuni,CVM N16C142
436,Campylobacter jejuni,CVM N16C143
437,Campylobacter jejuni,CVM N16C149
438,Campylobacter jejuni,CVM N16C337
439,Campylobacter jejuni,CVM N16C340
440,Campylobacter jejuni,CVM N16C347
441,Campylobacter jejuni,CVM N16C348
442,Campylobacter jejuni,CVM N16C352
443,Campylobacter jejuni,CVM N16C360
444,Campylobacter jejuni,CVM N16C363
445,Campylobacter jejuni,CVM N16C373
446,Campylobacter jejuni,CVM N16C376
